"first_words","last_word_expected"
"+_fields","land"
"=_0x80","then"
"=_d","f"
"=_d","h"
"=_d","w"
"=_input","inch"
"=_input","inch"
"★_12","月"
"$_40","per"
"0x07_inch","in"
"0x80_then","table"
"1_+","fields"
"1_1","2"
"1_2","c"
"1_2","cup"
"1_2","cups"
"1_2","hours"
"1_2","inch"
"1_2","inches"
"1_2","tsp"
"1_3","cup"
"1_3","of"
"1_4","cup"
"1_4","tsp"
"1_Corinthians","12"
"1_Cup","of"
"1_head","Romaine"
"1_You","must"
"10_12","minutes"
"10_in","the"
"100_of","the"
"100_of","these"
"12_x","12"
"12-year-old_girl","from"
"15_of","your"
"1970_s","The"
"1990_s","gays"
"2_1978","D-I"
"2_above","pp"
"2_cups","of"
"2_dc","in"
"2_inches","of"
"2_months","and"
"2_or","3"
"2_sc","in"
"2_tsp","cayenne"
"20_minutes","of"
"2007_Christmas","Ale"
"2012_is","the"
"24_hour","music"
"25_It","is"
"25_minutes","until"
"25_years","ago"
"3_4","cup"
"3_days","of"
"3_days","Then"
"3_In","a"
"3_of","the"
"3_or","4"
"3_out","of"
"3_to","6"
"3_years","I"
"4_Don't","drink"
"4_out","of"
"4_years","to"
"40_per","person"
"4th_of","July"
"5_de","Mayo"
"5_years","ago"
"50_of","the"
"50_off","the"
"51_a","ii"
"5th_of","May"
"6_year","old"
"70_years","old"
"8_or","9"
"8_PM","on"
"9_00","am"
"9_If","you"
"90_of","the"
"95_of","the"
"a_baby","and"
"a_baby","I"
"a_baby","is"
"a_bag","of"
"a_base","of"
"a_batch","of"
"a_battery","can"
"a_beautiful","day"
"a_beautiful","home"
"a_beer","drinker"
"a_better","look"
"a_better","one"
"a_better","place"
"a_better","way"
"a_bid","to"
"a_big","deal"
"a_big","fan"
"a_big","one"
"a_big","part"
"a_big","sister"
"a_big","sword"
"a_birthday","party"
"a_bit","about"
"a_bit","and"
"a_bit","I"
"a_bit","late"
"a_bit","more"
"a_bit","of"
"a_bit","overwhelming"
"a_bit","strange"
"a_bit","too"
"a_bit","worried"
"a_blessing","to"
"a_blind","eye"
"a_block","of"
"a_boil","and"
"a_book","and"
"a_book","I"
"a_book","proposal"
"a_book","that"
"a_book","you"
"a_bottle","of"
"a_bowl","of"
"a_box","of"
"a_boy","and"
"a_break","from"
"a_breath","of"
"a_brief","description"
"a_brief","moment"
"a_bug","and"
"a_bunch","of"
"a_bus","tour"
"a_business","owner"
"a_call","at"
"a_card","for"
"a_card","using"
"a_career","in"
"a_case","for"
"a_case","of"
"a_certain","period"
"a_challenge","that"
"a_chance","of"
"a_chance","to"
"a_change","of"
"a_child","and"
"a_child","I"
"a_child","of"
"a_child","to"
"a_Christmas","tree"
"a_chunk","of"
"a_church","and"
"a_clean","and"
"a_coat","of"
"a_collection","of"
"a_college","education"
"a_combination","of"
"a_comment","about"
"a_comment","below"
"a_comment","here"
"a_comment","on"
"a_comment","stating"
"a_commitment","to"
"a_company","that"
"a_contract","with"
"a_conversation","about"
"a_copy","of"
"a_cost","of"
"a_couple","and"
"a_couple","more"
"a_couple","of"
"A_couple","of"
"a_couple","times"
"a_couple","weeks"
"a_couple","years"
"a_crowd","of"
"a_cup","of"
